Location,Latitude,Longitude,Date,pH Level,Dissolved Oxygen (mg/L),Turbidity (NTU),Nitrate Levels (mg/L),Phosphate Levels (mg/L),Temperature (°C)
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-04,7.39,14.79,1.94,1.46,0.09,24.41
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-03,6.95,7.59,4.9,6.65,0.01,23.23
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-11-01,7.07,6.46,4.43,2.34,0.1,19.13
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-31,7.98,5.12,2.36,1.03,0.22,24.28
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-30,7.33,9.13,1.09,2.34,0.12,24.97
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-29,6.63,13.09,4.87,7.59,0.15,20.17
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-28,7.19,10.63,3.7,0.17,0.07,14.15
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-27,8.37,11.18,3.93,1.73,0.26,21.71
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-26,6.91,7.13,3.62,7.76,0.29,21.02
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-25,8.16,11.52,1.18,7.71,0.03,22.2
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-24,7.54,11.9,4.49,6.95,0.18,11.07
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-23,7.78,8.23,4.55,4.76,0.26,12.41
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-22,7.24,14.01,4.89,2.71,0.17,18.51
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-21,6.63,12.11,1.17,1.75,0.1,14.08
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-20,6.99,6.86,0.66,2.47,0.25,21.09
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-19,7.16,12.68,1.26,4.71,0.06,14.59
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-18,8.4,8.87,2.74,3.78,0.01,15.98
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-17,6.85,10.03,0.91,4.46,0.23,14.17
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-16,7.13,10.9,1.23,3.04,0.26,22.87
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-15,7.19,9.24,1.99,4.5,0.01,11.46
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-14,7.03,6.09,4.53,9.62,0.03,14.99
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-13,8.31,7.93,4.91,3.6,0.1,19.41
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-12,7.14,13.84,2.28,7.61,0.22,18.97
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-11,8.02,6.84,0.52,3.83,0.12,23.84
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-10,6.72,8.9,4.22,8.93,0.04,23.73
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-09,7.92,8.83,0.89,4.04,0.23,12.83
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-08,8.12,12.27,1.37,8.62,0.24,10.09
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-07,7.11,6.83,2.29,0.48,0.07,16.57
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-06,7.51,13.36,2.21,0.15,0.1,14.54
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-05,8.41,8.13,3.38,9.68,0.06,20.06
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-04,7.87,9.72,3.01,2.49,0.23,24.39
Anderson Reservoir near Coyote Valley,37.175,-121.6506,2024-10-03,8.29,11.12,1.56,9.35,0.03,20.5
Almaden Lake,37.251,-121.8674,2024-11-01,6.56,8.85,1.8,2.47,0.09,14.49
Almaden Lake,37.251,-121.8674,2024-10-31,7.15,8.17,2.34,8.33,0.28,15.9
Almaden Lake,37.251,-121.8674,2024-10-30,8.35,12.28,4.99,9.16,0.08,15.74
Almaden Lake,37.251,-121.8674,2024-10-29,7.51,12.48,4.21,1.61,0.2,16.97
Almaden Lake,37.251,-121.8674,2024-10-28,7.9,6.36,2.26,6.45,0.01,22.76
Almaden Lake,37.251,-121.8674,2024-10-27,7.03,6.58,0.78,4.9,0.05,18.12
Almaden Lake,37.251,-121.8674,2024-10-26,6.74,12.81,3.12,3.85,0.12,21.31
Almaden Lake,37.251,-121.8674,2024-10-25,7.2,11.77,3.78,2.04,0.01,14.4
Almaden Lake,37.251,-121.8674,2024-10-24,8.15,7.6,3.39,0.46,0.2,16.11
Almaden Lake,37.251,-121.8674,2024-10-23,7.27,12.7,1.17,0.79,0.04,22.57
Almaden Lake,37.251,-121.8674,2024-10-22,7.8,12.62,3.26,3.51,0.11,11.84
Almaden Lake,37.251,-121.8674,2024-10-21,7.93,7.36,3.92,4.17,0.06,18.23
Almaden Lake,37.251,-121.8674,2024-10-20,7.21,5.98,4.37,2.81,0.14,24.0
Almaden Lake,37.251,-121.8674,2024-10-19,6.71,6.02,1.15,3.04,0.12,20.2
Almaden Lake,37.251,-121.8674,2024-10-18,7.93,6.06,2.8,4.27,0.27,14.8
Almaden Lake,37.251,-121.8674,2024-10-17,7.6,7.77,1.49,4.69,0.29,12.08
Almaden Lake,37.251,-121.8674,2024-10-16,8.41,14.66,3.08,3.56,0.0,16.91
Almaden Lake,37.251,-121.8674,2024-10-15,8.25,7.31,4.39,0.4,0.24,11.78
Almaden Lake,37.251,-121.8674,2024-10-14,7.38,12.5,4.93,4.62,0.18,12.5
Almaden Lake,37.251,-121.8674,2024-10-13,7.79,14.33,1.72,8.17,0.02,18.1
Almaden Lake,37.251,-121.8674,2024-10-12,7.91,13.38,2.86,9.52,0.22,10.84
Almaden Lake,37.251,-121.8674,2024-10-11,7.33,12.44,0.79,0.5,0.17,24.03
Almaden Lake,37.251,-121.8674,2024-10-10,7.45,13.47,2.92,3.31,0.13,18.29
Almaden Lake,37.251,-121.8674,2024-10-09,7.31,14.2,4.24,9.33,0.11,21.35
Almaden Lake,37.251,-121.8674,2024-10-08,6.84,7.61,3.49,9.82,0.23,12.49
Almaden Lake,37.251,-121.8674,2024-10-07,7.52,5.77,3.6,9.39,0.15,18.23
Almaden Lake,37.251,-121.8674,2024-10-06,7.62,10.69,4.25,5.05,0.28,14.5
Almaden Lake,37.251,-121.8674,2024-10-05,6.6,9.23,1.35,4.09,0.11,14.16
Almaden Lake,37.251,-121.8674,2024-10-04,8.08,5.06,4.66,1.39,0.02,23.49
Almaden Lake,37.251,-121.8674,2024-10-03,7.89,10.24,4.35,4.45,0.15,17.02
